t;true1;true2;true3;true4;prev1;prev2;prev3;prev4
1;0,2105549182978594;0,1895103119556733;0,5294974906843308;0,0975185637237924;0,21774000140228802;0,1743150030776969;0,5082438494717855;0,08080189099844913
2;0,25374682539016113;0,13349380923637574;0,5466117484877506;0,10019083188340404;0,23594727079464475;0,12598464500206535;0,5429617565469506;0,09597257620775601
3;0,17651483145800945;0,056229313587864684;0,4270149625521034;0,05962556157605421;0,22621483839335335;0,11128102543067532;0,4646081223681104;0,11640466560167322
4;0,1940523320463988;0,09080551442525873;0,31088356494946895;0,09170534678995446;0,204846868791042;0,06910025608662593;0,31159624586330326;0,06380513848131439
5;0,15532458119258793;0,14527499908927632;0,30215544681491807;0,1652002879645304;0,18025051957496982;0,13200796083582836;0,3025968076761407;0,14960084197345647
6;0,08951954442677405;0,16990724963946438;0,2974242136434161;0,17800505596297925;0,12750443792289473;0,20765749899345934;0,3275511401112922;0,2135935001310054
7;0,09985624739818942;0,19863253070728182;0,3215773328211041;0,17124191422216997;0,08980959099714182;0,21675831297651432;0,32004975448210343;0,1918255107310371
8;0,20244052299718537;0,21602270872421137;0,2723639119044628;0,20979349730244432;0,11027177069968397;0,15197846970561596;0,21917493080153835;0,14758027653197844
9;0,13392485993996675;0,18350055195516546;0,20174290948081014;0,14324201902792275;0,13374025777329396;0,18986310416456612;0,206288199439122;0,14958322665499263
10;0,11921204969930647;0,15360793897268735;0,2558234491346481;0,12727065217127198;0,17981050678395347;0,2586667893511075;0,3663839476676292;0,22559724610156606
11;0,1669554955823749;0,14581414045149155;0,4015223748134647;0,15924979675675432;0,1515628615714762;0,12502492866319279;0,3825626488944707;0,14061401489205333
12;0,20493537841011428;0,09187432498684601;0,40886499805362014;0,10980471570527497;0,19729533623957507;0,09198264355333834;0,40609381948773476;0,10740082829424775
13;0,22517057467347817;0,2079987509182878;0,44387774040939215;0,14202110099294635;0,23213244213213086;0,2249510570301997;0,44072669766378486;0,16425115152992886
