t;true1;true2;true3;true4;prev1;prev2;prev3;prev4
1;0,2105549182978594;0,1895103119556733;0,5294974906843308;0,0975185637237924;0,20117880851807746;0,1980818605695078;0,4941525210869628;0,09231689998995964
2;0,25374682539016113;0,13349380923637574;0,5466117484877506;0,10019083188340404;0,22941075547282175;0,15755947196789954;0,4994767069013217;0,09104821144615124
3;0,17651483145800945;0,056229313587864684;0,4270149625521034;0,05962556157605421;0,23524781874115194;0,10506321146311619;0,4969549139569275;0,09361812942073126
4;0,1940523320463988;0,09080551442525873;0,31088356494946895;0,09170534678995446;0,19003346521903725;0,09173384444315896;0,40548453579582605;0,10111591622247795
5;0,15532458119258793;0,14527499908927632;0,30215544681491807;0,1652002879645304;0,21435539304279472;0,12301128344317169;0,330255968183649;0,13004355393549094
6;0,08951954442677405;0,16990724963946438;0,2974242136434161;0,17800505596297925;0,12589586752355159;0,1388332059932163;0,2870669617078608;0,1686436778952095
7;0,09985624739818942;0,19863253070728182;0,3215773328211041;0,17124191422216997;0,05822371145362136;0,18472590596512797;0,3010745798902312;0,18214284739154563
8;0,20244052299718537;0,21602270872421137;0,2723639119044628;0,20979349730244432;0,1289291984897713;0,20629711829119557;0,32552502219896734;0,14825695348579554
9;0,13392485993996675;0,18350055195516546;0,20174290948081014;0,14324201902792275;0,1590169787479695;0,19929733551435405;0,2286138414023825;0,18011149234458385
10;0,11921204969930647;0,15360793897268735;0,2558234491346481;0,12727065217127198;0,14312937949327056;0,20225678107347697;0,22704805353998134;0,1560718484113638
11;0,1669554955823749;0,14581414045149155;0,4015223748134647;0,15924979675675432;0,13883650854675986;0,16355366768297191;0,32466280707463224;0,1498223913866985
12;0,20493537841011428;0,09187432498684601;0,40886499805362014;0,10980471570527497;0,19760877245853958;0,11510804039047755;0,37756063777180054;0,11432190034682911
13;0,22517057467347817;0,2079987509182878;0,44387774040939215;0,14202110099294635;0,2431231179006549;0,09191839268850689;0,40623715820656914;0,1150993165984286
14;0,22537710265574953;0,12808658738948356;0,22920383317894674;0,10145031903690149;0,22649025829744635;0,14288544476463153;0,37117113139462427;0,09901113558806851
15;0,18405076351914845;0,13028104847710464;0,2498249152147558;0,13128328080554189;0,20483490155532616;0,1392477255412917;0,2622661582752744;0,1127912808321507
16;0,22570337895412507;0,12462044860612985;0,19789544465974984;0,1351926333589461;0,18124932553090978;0,12195668895250071;0,22596633634438104;0,14849832831345838
17;0,39528000589749374;0,1278465453330402;0,35779409979422394;0,16243587313825944;0,2645271463969351;0,14698928092488092;0,2279218124618592;0,15495904578467123
18;0,2784577025664948;0,12034945288042158;0,31390483189428375;0,13765936979627688;0,2831511920339139;0,12370651298624802;0,2936201049984682;0,1527427327931113
19;0,139850582755874;0,1185547706309089;0,2989349857672083;0,1171848031436407;0,23382456500982293;0,13687525490337663;0,3467639405313979;0,14646262969445728
20;0,14739872811065;0,15909592730152447;0,3795750471781079;0,13313859491957442;0,1345846298207152;0,15490644872393958;0,31573419395591823;0,13682271725286804
21;0,17120174339401553;0,15706223600035102;0,31936754353697594;0,12844371779028285;0,14067117277696903;0,14858139411914736;0,3377191123804245;0,11076822554591732
22;0,18236640151910125;0,15639642222414055;0,3510450381793884;0,17953724890116946;0,18803871257684093;0,1487592392119562;0,2860780941640987;0,13657197883680838
23;0,1615428355237812;0,1478649899315387;0,26270200949337325;0,1609571153641205;0,17082938154881264;0,12670406056658862;0,3678617902829015;0,1721828247326715
24;0,21573783607592162;0,15801641648922388;0,2855175857323324;0,13676336870540892;0,18887371526808366;0,1530258962349607;0,2710651385527106;0,13950156074594378
25;0,25219485193312985;0,16266809803849933;0,41253000384535926;0,15243099962397397;0,26310494613933344;0,16432859561187207;0,29162601539021477;0,12957517911610977
26;0,30680212337055957;0,14766597413952265;0,37758921243911137;0,15817903090952512;0,25196356493691;0,1277676365479267;0,3591871933016834;0,12592216596160974
27;0,2953230718514813;0,14678293939808845;0,3626923139982478;0,17544091005987994;0,28579019517356813;0,1170505059557963;0,31977715079173324;0,13602613611198416
28;0,22639675294866804;0,07111761710547841;0,3321975583457282;0,1356090915962907;0,2746813121816016;0,12321271828899312;0,3131116046315119;0,16031880771188003
29;0,2283626675369539;0,07299038489389577;0,3661089363445634;0,14896955979177334;0,24090772869920501;0,09126054832483929;0,37033865785545045;0,17767194212561932
30;0,18078391194051682;0,11835310693072934;0,29850525157318936;0,16025253499534536;0,20398608952806688;0,0885950900134747;0,38188393873881415;0,15745157059017412
31;0,2337067876102796;0,11265265374359909;0,3278857832104101;0,19990973460233524;0,14925321024385843;0,14316241014243317;0,31244838435841277;0,18015915624163512
32;0,18383837863577399;0,14739214097397155;0,40944035694796355;0,1804374967976004;0,2206668194293163;0,11077181908494589;0,327292239986263;0,18989424026569285
33;0,12837672650962423;0,1487362726666803;0,3688303770523387;0,11886134100666078;0,1563357264226696;0,1402966254147261;0,33986342047621276;0,1543472666034959
34;0,14043095242977816;0,11760919039505163;0,3357149476793042;0,11588030980724164;0,13943453230914854;0,15887581032652617;0,36079761127232285;0,11618276364092649
35;0,1024376466402253;0,06262549471185758;0,3113633453372035;0,07618677026335317;0,15613560860920883;0,11491047234933068;0,37382699873511865;0,1454392622410894
36;0,1918594079902217;0,1042222925855204;0,5423325580553022;0,07798420385067135;0,14908358293623997;0,10253778426177829;0,33482826435232277;0,08622510944047307
37;0,19471826857069008;0,04493192204656563;0,3557051703065062;0,04239391277157307;0,20804259558597138;0,10160950112633858;0,3909734568310189;0,07493482776676466
38;0,1535804916214803;0,0026772268664643144;0,24835457254894072;-0,015092008180778391;0,2169071755543435;0,05212331519104641;0,36591752503240715;0,06993781723790328
39;0,1362748299332045;0,014347144946048931;0,45826268501678763;0,03080070783893502;0,16888392371375688;0,05881846775167737;0,2865274683481983;0,04050861846984265
40;0,1970525148585352;0,04373203248901616;0,3694400792002828;0,06828295283238775;0,1731192196678734;0,0366775333325413;0,33336549819150607;0,03734741686583058
41;0,23268412104687447;0,07948090445786246;0,342010882737979;0,10758732974718149;0,2223819596080412;0,031188200137735322;0,3675184174368011;0,08630759938443168
42;0,19471121900361302;0,06038893737867488;0,1826716845941772;0,08005348266478182;0,1968283934486102;0,08576411780816028;0,30879986307100193;0,10355969774768393
43;0,1483418492493792;0,07831718207502802;0,27023664965530975;0,0972085164713834;0,17003065097437242;0,10962318267449714;0,24551586801436878;0,12937765974590174
44;0,15684013684316017;0,08476048834008724;0,29977229375520353;0,10484839521218428;0,1505584245131439;0,09297982577956755;0,3139889663602546;0,10070487478058772
45;0,12385414315313598;0,07701171535664277;0,20339681956430053;0,12087109009359599;0,1453092428595057;0,09010640010980346;0,2532031121304498;0,11056569825642217
46;0,08241235980402452;0,34343728575042015;0,2717908288253437;0,18468394863207066;0,12770529719328771;0,08261752613197522;0,19513055964900922;0,14687032969755356
47;0,15461369323568253;0,2930801985129254;0,23831628974105917;0,10892189779137974;0,1261361004860655;0,1254274302760782;0,24367307855168074;0,14144829860970076
48;0,2240546112007703;0,08501626493412022;0,2950800434359508;0,08169465737629035;0,16305969041531546;0,16350605780060964;0,22634600444451045;0,08827495202940878
49;0,17394849261443368;0,2008105687134056;0,28581627990638864;0,1607177093218882;0,24386972113219324;0,12077061879620714;0,28901452231747615;0,09454224362396647
