name;value
m01;-1,7013163230104353
m02;-1,451572989907053
m03;0,18624659463018314
m04;-2,160687457570749
omega1;0,19655763746593605
omega2;0,16340461261910022
omega3;0,2743241356881179
omega4;0,1594477797891725
phi1;1,6533592414147293
phi2;3,103891730592808
phi3;1,5690005326385745
phi4;3,1351838917819976
kappa1;0,0016876223992716884
kappa2;0,0008539249909375262
kappa3;0,0014670107169932512
kappa4;0,0007596507695050911
kappa5;9,65672057372056e-5
kappa6;3,639397015546137e-5
kappa7;9,837448807719386e-5
kappa8;-4,756182346296336e-5
sigma_1;22,933139253815664
sigma_2;-5,718169607044665
sigma_3;-1,7621338914452496
sigma_4;-3,7050352529766943
sigma_5;27,003467200085296
sigma_6;-13,596297933407216
sigma_7;-14,11079031095939
sigma_8;23,47791592116309
sigma_9;-7,2208339357943245
sigma_10;35,3250081327995
v;1,6453697375461953
gamma_1_1;-0,0007909236512551939
gamma_1_2;0,031882009087578156
gamma_1_3;0,04491994535884442
gamma_1_4;0,01145590574564822
gamma_1_5;0,02033867483229692
gamma_1_6;0,03530730098337777
gamma_1_7;0,010941939880679596
gamma_1_8;-0,017316975826357797
gamma_1_9;-0,0283008730044131
gamma_1_10;-0,04533717974946807
gamma_1_11;-0,0352906099805961
gamma_2_1;-0,0007851102458155047
gamma_2_2;0,0032728166292998032
gamma_2_3;-0,006126489409145524
gamma_2_4;-0,01556281584198648
gamma_2_5;-0,017138942564658952
gamma_2_6;-0,009413073895561721
gamma_2_7;-0,008621238564381333
gamma_2_8;0,00353682350093477
gamma_2_9;0,012257754445535575
gamma_2_10;0,015198360794990082
gamma_2_11;0,008299147758559201
gamma_3_1;0,009440575385120522
gamma_3_2;-0,0006763867806574865
gamma_3_3;0,0002577863526579699
gamma_3_4;-0,014963088918634775
gamma_3_5;-0,029737771464304952
gamma_3_6;0,0006825960619849178
gamma_3_7;0,0038660273134245807
gamma_3_8;0,025121987488289754
gamma_3_9;0,024678574560735127
gamma_3_10;-0,01597812011241337
gamma_3_11;-0,017568251460039253
gamma_4_1;-0,01529261890118545
gamma_4_2;-0,0156540005889793
gamma_4_3;-0,009056594253322156
gamma_4_4;-0,018812922374183243
gamma_4_5;-0,016792219274708878
gamma_4_6;0,0022054652790045445
gamma_4_7;0,006709774478169451
gamma_4_8;0,020800521996431984
gamma_4_9;0,009879338621698477
gamma_4_10;0,0057354089387464105
gamma_4_11;0,010236936542108527
