t;true1;true2;true3;true4;prev1;prev2;prev3;prev4;m1;m2;m3;m4
1;0,2105549182978594;0,1895103119556733;0,5294974906843308;0,0975185637237924;0,29115185716786374;0,09601902823207183;0,5552735883026235;0,07176982482035194;0,26556914898652295;0,08885806241332421;0,5511311501725702;0,08329527691545353
2;0,25374682539016113;0,13349380923637574;0,5466117484877506;0,10019083188340404;0,25013217077013733;0,12137914410041965;0,4970214380274348;0,07192631364589537;0,22348242710996008;0,12513925568181788;0,49272180462571713;0,08167291791219171
3;0,17651483145800945;0,056229313587864684;0,4270149625521034;0,05962556157605421;0,21922936062381526;0,08436238054297862;0,48187676416654746;0,08816822688570908;0,21905551252429672;0,10454593762981448;0,5011861878217698;0,10113369454130647
4;0,1940523320463988;0,09080551442525873;0,31088356494946895;0,09170534678995446;0,17641236019588563;0,06936917102454149;0,40553221045420246;0,07858424026281237;0,17679465309462983;0,10286910517482736;0,43663807541824107;0,10570874882063316
5;0,15532458119258793;0,14527499908927632;0,30215544681491807;0,1652002879645304;0,2135857128034728;0,10861987813199189;0,36925544843819147;0,12835347283424686;0,18865636154066664;0,12387339090402318;0,3592236696042769;0,12273539746211942
6;0,08951954442677405;0,16990724963946438;0,2974242136434161;0,17800505596297925;0,17019241352701403;0,13438359253612228;0,30381576783555164;0,13717263549342623;0,15894141431789366;0,14480164083266736;0,30529563225804973;0,1433402343218593
7;0,09985624739818942;0,19863253070728182;0,3215773328211041;0,17124191422216997;0,09271141709001282;0,17888145086326412;0,28311648910891934;0,17885129951140696;0,11157360190816751;0,16289830013717543;0,27868648387635037;0,16277447864724987
8;0,20244052299718537;0,21602270872421137;0,2723639119044628;0,20979349730244432;0,1251463828289324;0,21369585838821353;0,34872603447398215;0,13956565836462764;0,13479151176310908;0,1895621394170369;0,3172433312591625;0,12426265667435651
9;0,13392485993996675;0,18350055195516546;0,20174290948081014;0,14324201902792275;0,15047361297544717;0,18840051425518006;0,2711370289486122;0,1580177383225895;0,17144246907781371;0,17639216757870455;0,278713694019196;0,15711578367311574
10;0,11921204969930647;0,15360793897268735;0,2558234491346481;0,12727065217127198;0,1427551528297083;0,20017519229811487;0,20613351620376041;0,17314655175914848;0,16308548940213616;0,19735258633685016;0,22079965954035036;0,16319473966288187
11;0,1669554955823749;0,14581414045149155;0,4015223748134647;0,15924979675675432;0,1420673289153485;0,1797689057842794;0,2879167789427757;0,15930789560445846;0,16744097806236885;0,17165354941030744;0,27818018545085343;0,14183460470274364
12;0,20493537841011428;0,09187432498684601;0,40886499805362014;0,10980471570527497;0,19378451134864944;0,15367756189881168;0,3337952774084963;0,14113412808100967;0,18947264877381798;0,14075545465461053;0,3238111943711669;0,13913252193572295
13;0,22517057467347817;0,2079987509182878;0,44387774040939215;0,14202110099294635;0,23336462316425205;0,11265381725991791;0,3648493534819459;0,12206945161172397;0,20617933846090847;0,10602100189804056;0,3605305407572199;0,1331204465191127
14;0,22537710265574953;0,12808658738948356;0,22920383317894674;0,10145031903690149;0,21866728361287896;0,14674007910561201;0,3665900050806712;0,10056656863343305;0,19239883947019185;0,14989256160220663;0,36223607870567814;0,10902330479653276
15;0,18405076351914845;0,13028104847710464;0,2498249152147558;0,13128328080554189;0,2007376469195647;0,13060110446996637;0,2799705585565563;0,1183341277620042;0,19970398941685558;0,15082715943196917;0,2994374280002206;0,13226266051883
16;0,22570337895412507;0,12462044860612985;0,19789544465974984;0,1351926333589461;0,17515820205200458;0,11578178142930586;0,220136010570135;0,137262707220709;0,17676045201489884;0,14935973151701004;0,2513731788511371;0,16577732688575414
17;0,39528000589749374;0,1278465453330402;0,35779409979422394;0,16243587313825944;0,2704885107011233;0,14769749245226158;0,23850592439304427;0,1667544431603664;0,24134756430444612;0,16280252979221416;0,22854514133976173;0,16078536438472082
18;0,2784577025664948;0,12034945288042158;0,31390483189428375;0,13765936979627688;0,2840618013162019;0,1337128765586453;0,26460845467322325;0,1476421066165049;0,2705972230445521;0,14439879785987825;0,2659693259659354;0,15344118908563878
19;0,139850582755874;0,1185547706309089;0,2989349857672083;0,1171848031436407;0,23908702025392714;0,13566938547201526;0,33006448101358393;0,15391536505940429;0,25852779427768857;0,11999129503835491;0,32543915012139957;0,13716136013737054
20;0,14739872811065;0,15909592730152447;0,3795750471781079;0,13313859491957442;0,17092772647301369;0,1583452611816253;0,34473408091750285;0,14186271798317648;0,18513400629435883;0,133942601805134;0,31327862130569756;0,12599307027348225
21;0,17120174339401553;0,15706223600035102;0,31936754353697594;0,12844371779028285;0,13731035074982675;0,14782803778374282;0,346353074939835;0,10557808203519643;0,1601503405932935;0,13574504552400324;0,353791354962959;0,103769733636949
22;0,18236640151910125;0,15639642222414055;0,3510450381793884;0,17953724890116946;0,18577335306778311;0,13626913538014923;0,2842050701355062;0,14506562533679465;0,20385177138199068;0,13340367478206266;0,29907103288497927;0,13676979304073142
