t;true1;true2;true3;true4;prev1;prev2;prev3;prev4;m1;m2;m3;m4
1;0,2105549182978594;0,1895103119556733;0,5294974906843308;0,0975185637237924;0,33123212134888086;0,24834083821476927;0,5598908378719457;0,3338657764107926;0,3340105756133255;0,26581339971095086;0,5549685687714632;0,34104126910462385
2;0,25374682539016113;0,13349380923637574;0,5466117484877506;0,10019083188340404;0,27136029154086944;0,21663043043024402;0,5046442660193803;0,2065297719696479;0,24928581846229098;0,22427866364074867;0,5067424879250877;0,21775804597575404
3;0,17651483145800945;0,056229313587864684;0,4270149625521034;0,05962556157605421;0,229554523515599;0,1529608536507619;0,48554902785245135;0,13696706017541457;0,22524475284825723;0,16414875332718382;0,501724543884996;0,14386844575940247
4;0,1940523320463988;0,09080551442525873;0,31088356494946895;0,09170534678995446;0,1900081384620226;0,117016044478611;0,41769669320857383;0,11901466838683271;0,18592512362560631;0,12981039468268304;0,4382720514031596;0,12596429457706565
5;0,15532458119258793;0,14527499908927632;0,30215544681491807;0,1652002879645304;0,23635748929373915;0,15297608865563728;0,34067147597402503;0,15018914657748664;0,2072284381669472;0,15774847687333807;0,3344356347336574;0,14177874086304995
6;0,08951954442677405;0,16990724963946438;0,2974242136434161;0,17800505596297925;0,12323041823206352;0,17868577828398446;0,2958755784293674;0,20034503925447852;0,11709734100222507;0,17305075586420757;0,2913203082837973;0,1951249619986253
7;0,09985624739818942;0,19863253070728182;0,3215773328211041;0,17124191422216997;0,0963798959389695;0,19026934934246587;0,30245181124457915;0,1633763704628645;0,10558815749883152;0,17358014216435375;0,29738805915987804;0,16031697866970945
8;0,20244052299718537;0,21602270872421137;0,2723639119044628;0,20979349730244432;0,16590728756781187;0,20371084854637891;0,3526039911258337;0,19952281815505465;0,16903399077333348;0,19394260751233772;0,331630759081176;0,1955658638513666
9;0,13392485993996675;0,18350055195516546;0,20174290948081014;0,14324201902792275;0,21555083809429082;0,21416653465538885;0,2386075917941136;0,20910553815536131;0,23424913946438036;0,21756342191236344;0,24708304941028603;0,20620063759047214
10;0,11921204969930647;0,15360793897268735;0,2558234491346481;0,12727065217127198;0,14287260270618024;0,19610898911971913;0,22098538903740172;0,153404718969266;0,15264817380588053;0,19159173208596672;0,22975333603795914;0,1492261034011788
11;0,1669554955823749;0,14581414045149155;0,4015223748134647;0,15924979675675432;0,12992583613845832;0,1493941847691157;0,29898673938001913;0,15136873871525436;0,15198445281275105;0,13466931643532198;0,2939412274034958;0,14418657514905348
12;0,20493537841011428;0,09187432498684601;0,40886499805362014;0,10980471570527497;0,21661375374142988;0,15692940072382328;0,38449359038485853;0,17625554998843743;0,21813106406194088;0,15072300209944112;0,37502439298383183;0,17815982159221144
13;0,22517057467347817;0,2079987509182878;0,44387774040939215;0,14202110099294635;0,20649244801345545;0,09748228016021317;0,3982555886672123;0,11745218076964546;0,20909228971632637;0,11483014964947591;0,3930711984107768;0,12431025700522168
14;0,22537710265574953;0,12808658738948356;0,22920383317894674;0,10145031903690149;0,2516123814372052;0,22980671365750613;0,40029754141350843;0,16333021627362834;0,22906598921659324;0,2377555977320886;0,402199610462882;0,17483407922929434
